&1&2&3&5&6&10&11&12&13
0&11/06/18 00:00:48&	SMTP-IN	26E23B490FFC4F39BDFEC25761B79CFC.MAI	748	&177.8.169.156&HELO&HELO&mail.cirkul-m.ru	250 Requested mail action okay, completed	&43&23&	
1&11/06/18 00:00:48&	SMTP-IN	26E23B490FFC4F39BDFEC25761B79CFC.MAI	748	&177.8.169.156&AUTH&AUTH&LOGIN	334 VXNlcm5hbWU6	&18&12&	
1924&11/06/18 07:00:44&	SMTP-IN	C111C6854AA04428B31B622549187E2F.MAI	1008	&99.228.192.3&AUTH&{blank}&334 UGFzc3dvcmQ6	&18&10&cyan	
1925&11/06/18 07:00:44&	SMTP-IN	C111C6854AA04428B31B622549187E2F.MAI	1008	&99.228.192.3&AUTH&Y3lhbg==&535 Invalid Username or Password	&34&10&cyan	
1926&11/06/18 07:00:44&	SMTP-IN	C111C6854AA04428B31B622549187E2F.MAI	1008	&99.228.192.3&QUIT&QUIT&221 Service closing transmission channel	&42&6&cyan	
1927&11/06/18 07:02:10&	SMTP-IN	CD27E2474FA74942A0A70138580A5636.MAI	1004	&80.82.70.189&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 11/06/18 07:02:10	&0&0&	
1928&11/06/18 07:02:10&	SMTP-IN	CD27E2474FA74942A0A70138580A5636.MAI	1004	&80.82.70.189&EHLO&EHLO&User	250-cirkul-m.ru [80.82.70.189], this server offers 4 extensions	&127&11&	
1929&11/06/18 07:02:10&	SMTP-IN	CD27E2474FA74942A0A70138580A5636.MAI	1004	&80.82.70.189&RSET&RSET&250 Requested mail action okay, completed	&43&6&	
1930&11/06/18 07:02:11&	SMTP-IN	CD27E2474FA74942A0A70138580A5636.MAI	1004	&80.82.70.189&AUTH&AUTH&LOGIN	334 VXNlcm5hbWU6	&18&12&	
1931&11/06/18 07:02:11&	SMTP-IN	CD27E2474FA74942A0A70138580A5636.MAI	1004	&80.82.70.189&AUTH&{blank}&334 UGFzc3dvcmQ6	&18&26&caesar@cirkul-m.ru	
1932&11/06/18 07:02:11&	SMTP-IN	CD27E2474FA74942A0A70138580A5636.MAI	1004	&80.82.70.189&AUTH&Y2Flc2FyMTIz&535 Invalid Username or Password	&34&14&caesar@cirkul-m.ru	
1933&11/06/18 07:02:11&	SMTP-IN	CD27E2474FA74942A0A70138580A5636.MAI	1004	&80.82.70.189&QUIT&QUIT&221 Service closing transmission channel	&42&6&caesar@cirkul-m.ru	
1934&11/06/18 07:02:35&	SMTP-IN	A1F4AFD5F46A4A73AB006549E533B53D.MAI	964	&200.30.83.105&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 11/06/18 07:02:35	&0&0&	
1935&11/06/18 07:02:36&	SMTP-IN	A1F4AFD5F46A4A73AB006549E533B53D.MAI	964	&200.30.83.105&HELO&HELO&mail.cirkul-m.ru	250 Requested mail action okay, completed	&43&23&	
1936&11/06/18 07:02:36&	SMTP-IN	A1F4AFD5F46A4A73AB006549E533B53D.MAI	964	&200.30.83.105&AUTH&AUTH&LOGIN	334 VXNlcm5hbWU6	&18&12&	
1937&11/06/18 07:02:36&	SMTP-IN	A1F4AFD5F46A4A73AB006549E533B53D.MAI	964	&200.30.83.105&AUTH&{blank}&334 UGFzc3dvcmQ6	&18&10&cyanne	
1938&11/06/18 07:02:37&	SMTP-IN	A1F4AFD5F46A4A73AB006549E533B53D.MAI	964	&200.30.83.105&AUTH&Y3lhbm5l&535 Invalid Username or Password	&34&10&cyanne	
1939&11/06/18 07:02:37&	SMTP-IN	A1F4AFD5F46A4A73AB006549E533B53D.MAI	964	&200.30.83.105&QUIT&QUIT&221 Service closing transmission channel	&42&6&cyanne	
1940&11/06/18 07:04:28&	SMTP-IN	801A426F3352446F9BD321326404CF92.MAI	908	&76.224.88.197&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 11/06/18 07:04:28	&0&0&	
1941&11/06/18 07:04:28&	SMTP-IN	801A426F3352446F9BD321326404CF92.MAI	908	&76.224.88.197&HELO&HELO&mail.cirkul-m.ru	250 Requested mail action okay, completed	&43&23&	
1942&11/06/18 07:04:28&	SMTP-IN	801A426F3352446F9BD321326404CF92.MAI	908	&76.224.88.197&AUTH&AUTH&LOGIN	334 VXNlcm5hbWU6	&18&12&	
1943&11/06/18 07:04:29&	SMTP-IN	801A426F3352446F9BD321326404CF92.MAI	908	&76.224.88.197&AUTH&{blank}&334 UGFzc3dvcmQ6	&18&10&cyber	
1944&11/06/18 07:04:29&	SMTP-IN	801A426F3352446F9BD321326404CF92.MAI	908	&76.224.88.197&AUTH&Y3liZXI=&535 Invalid Username or Password	&34&10&cyber	
1945&11/06/18 07:04:29&	SMTP-IN	801A426F3352446F9BD321326404CF92.MAI	908	&76.224.88.197&QUIT&QUIT&221 Service closing transmission channel	&42&6&cyber	
1946&11/06/18 07:04:36&	SMTP-IN	AD8797523D21481398321ED9F492ABEE.MAI	1008	&193.169.252.54&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 11/06/18 07:04:36	&0&0&	
1947&11/06/18 07:04:36&	SMTP-IN	AD8797523D21481398321ED9F492ABEE.MAI	1008	&193.169.252.54&EHLO&EHLO&User	250-cirkul-m.ru [193.169.252.54], this server offers 4 extensions	&129&11&	
1948&11/06/18 07:04:36&	SMTP-IN	AD8797523D21481398321ED9F492ABEE.MAI	1008	&193.169.252.54&AUTH&AUTH&LOGIN	334 VXNlcm5hbWU6	&18&12&	
1949&11/06/18 07:04:36&	SMTP-IN	AD8797523D21481398321ED9F492ABEE.MAI	1008	&193.169.252.54&AUTH&{blank}&334 UGFzc3dvcmQ6	&18&10&office	
1950&11/06/18 07:04:36&	SMTP-IN	AD8797523D21481398321ED9F492ABEE.MAI	1008	&193.169.252.54&AUTH&V2VsY29tZTE=&535 Invalid Username or Password	&34&14&office	
1951&11/06/18 07:05:58&	SMTP-IN	7257070FE1C64D29AAFD6282BD2E67B8.MAI	1004	&185.234.219.30&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 11/06/18 07:05:58	&0&0&	
1952&11/06/18 07:05:58&	SMTP-IN	7257070FE1C64D29AAFD6282BD2E67B8.MAI	1004	&185.234.219.30&EHLO&EHLO&User	250-cirkul-m.ru [185.234.219.30], this server offers 4 extensions	&129&11&	
1953&11/06/18 07:05:58&	SMTP-IN	7257070FE1C64D29AAFD6282BD2E67B8.MAI	1004	&185.234.219.30&AUTH&AUTH&LOGIN	334 VXNlcm5hbWU6	&18&12&	
1954&11/06/18 07:05:58&	SMTP-IN	7257070FE1C64D29AAFD6282BD2E67B8.MAI	1004	&185.234.219.30&AUTH&{blank}&334 UGFzc3dvcmQ6	&18&18&supervisor	
1955&11/06/18 07:05:58&	SMTP-IN	7257070FE1C64D29AAFD6282BD2E67B8.MAI	1004	&185.234.219.30&AUTH&d2VsY29tZQ==&535 Invalid Username or Password	&34&14&supervisor	
1956&11/06/18 07:06:25&	SMTP-IN	331841671B3D45B0AFB67D9BE890D4EF.MAI	964	&61.91.167.182&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 11/06/18 07:06:25	&0&0&	
1957&11/06/18 07:06:26&	SMTP-IN	331841671B3D45B0AFB67D9BE890D4EF.MAI	964	&61.91.167.182&HELO&HELO&mail.cirkul-m.ru	250 Requested mail action okay, completed	&43&23&	
1958&11/06/18 07:06:26&	SMTP-IN	331841671B3D45B0AFB67D9BE890D4EF.MAI	964	&61.91.167.182&AUTH&AUTH&LOGIN	334 VXNlcm5hbWU6	&18&12&	
1959&11/06/18 07:06:26&	SMTP-IN	331841671B3D45B0AFB67D9BE890D4EF.MAI	964	&61.91.167.182&AUTH&{blank}&334 UGFzc3dvcmQ6	&18&10&cybil	
1960&11/06/18 07:06:26&	SMTP-IN	331841671B3D45B0AFB67D9BE890D4EF.MAI	964	&61.91.167.182&AUTH&Y3liaWw=&535 Invalid Username or Password	&34&10&cybil	
1961&11/06/18 07:06:26&	SMTP-IN	331841671B3D45B0AFB67D9BE890D4EF.MAI	964	&61.91.167.182&QUIT&QUIT&221 Service closing transmission channel	&42&6&cybil	
1962&11/06/18 07:08:13&	SMTP-IN	84801836C8A3437EAAC91617B5D23420.MAI	908	&190.128.227.82&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 11/06/18 07:08:13	&0&0&	
1963&11/06/18 07:08:13&	SMTP-IN	84801836C8A3437EAAC91617B5D23420.MAI	908	&190.128.227.82&HELO&HELO&mail.cirkul-m.ru	250 Requested mail action okay, completed	&43&23&	
1964&11/06/18 07:08:14&	SMTP-IN	84801836C8A3437EAAC91617B5D23420.MAI	908	&190.128.227.82&AUTH&AUTH&LOGIN	334 VXNlcm5hbWU6	&18&12&	
1965&11/06/18 07:08:14&	SMTP-IN	84801836C8A3437EAAC91617B5D23420.MAI	908	&190.128.227.82&AUTH&{blank}&334 UGFzc3dvcmQ6	&18&10&cybill	
1966&11/06/18 07:08:15&	SMTP-IN	84801836C8A3437EAAC91617B5D23420.MAI	908	&190.128.227.82&AUTH&Y3liaWxs&535 Invalid Username or Password	&34&10&cybill	
1967&11/06/18 07:08:15&	SMTP-IN	84801836C8A3437EAAC91617B5D23420.MAI	908	&190.128.227.82&QUIT&QUIT&221 Service closing transmission channel	&42&6&cybill	
1968&11/06/18 07:09:21&	SMTP-IN	FD3EDE8A47E44F51B88C3CD1D2ABE2BB.MAI	1008	&193.169.252.163&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 11/06/18 07:09:21	&0&0&	
1969&11/06/18 07:09:21&	SMTP-IN	FD3EDE8A47E44F51B88C3CD1D2ABE2BB.MAI	1008	&193.169.252.163&EHLO&EHLO&178.72.90.213	250-cirkul-m.ru [193.169.252.163], this server offers 4 extensions	&130&20&	
1970&11/06/18 07:09:21&	SMTP-IN	FD3EDE8A47E44F51B88C3CD1D2ABE2BB.MAI	1008	&193.169.252.163&AUTH&AUTH&LOGIN	334 VXNlcm5hbWU6	&18&12&	
1971&11/06/18 07:09:21&	SMTP-IN	FD3EDE8A47E44F51B88C3CD1D2ABE2BB.MAI	1008	&193.169.252.163&AUTH&{blank}&334 UGFzc3dvcmQ6	&18&6&log	
1972&11/06/18 07:09:21&	SMTP-IN	FD3EDE8A47E44F51B88C3CD1D2ABE2BB.MAI	1008	&193.169.252.163&AUTH&cXdlcnR5&535 Invalid Username or Password	&34&10&log	
1973&11/06/18 07:10:03&	SMTP-IN	4D35393A6B3C41CA8DC301F8A509237D.MAI	1004	&187.44.106.11&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 11/06/18 07:10:03	&0&0&	
1974&11/06/18 07:10:03&	SMTP-IN	4D35393A6B3C41CA8DC301F8A509237D.MAI	1004	&187.44.106.11&HELO&HELO&mail.cirkul-m.ru	250 Requested mail action okay, completed	&43&23&	
1975&11/06/18 07:10:04&	SMTP-IN	4D35393A6B3C41CA8DC301F8A509237D.MAI	1004	&187.44.106.11&AUTH&AUTH&LOGIN	334 VXNlcm5hbWU6	&18&12&	
1976&11/06/18 07:10:04&	SMTP-IN	4D35393A6B3C41CA8DC301F8A509237D.MAI	1004	&187.44.106.11&AUTH&{blank}&334 UGFzc3dvcmQ6	&18&10&cycle	
1977&11/06/18 07:10:04&	SMTP-IN	4D35393A6B3C41CA8DC301F8A509237D.MAI	1004	&187.44.106.11&AUTH&Y3ljbGU=&535 Invalid Username or Password	&34&10&cycle	
1978&11/06/18 07:10:05&	SMTP-IN	4D35393A6B3C41CA8DC301F8A509237D.MAI	1004	&187.44.106.11&QUIT&QUIT&221 Service closing transmission channel	&42&6&cycle	
1979&11/06/18 07:12:06&	SMTP-IN	AAAC59A56E1F4E519621054BC9895E25.MAI	964	&41.215.208.138&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 11/06/18 07:12:06	&0&0&	
1980&11/06/18 07:15:52&	SMTP-IN	40AD54D7C61E4AE7A86125A47A714F10.MAI	908	&125.227.224.224&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 11/06/18 07:15:52	&0&0&	
1981&11/06/18 07:16:09&	SMTP-IN	56C81BCBAD314C289A3E95562560854E.MAI	1008	&185.234.219.30&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 11/06/18 07:16:09	&0&0&	
1982&11/06/18 07:16:09&	SMTP-IN	56C81BCBAD314C289A3E95562560854E.MAI	1008	&185.234.219.30&EHLO&EHLO&User	250-cirkul-m.ru [185.234.219.30], this server offers 4 extensions	&129&11&	
1983&11/06/18 07:16:09&	SMTP-IN	56C81BCBAD314C289A3E95562560854E.MAI	1008	&185.234.219.30&AUTH&AUTH&LOGIN	334 VXNlcm5hbWU6	&18&12&	
1984&11/06/18 07:16:09&	SMTP-IN	56C81BCBAD314C289A3E95562560854E.MAI	1008	&185.234.219.30&AUTH&{blank}&334 UGFzc3dvcmQ6	&18&10&nurse	
1985&11/06/18 07:16:09&	SMTP-IN	56C81BCBAD314C289A3E95562560854E.MAI	1008	&185.234.219.30&AUTH&d2VsY29tZQ==&535 Invalid Username or Password	&34&14&nurse	
1986&11/06/18 07:17:28&	SMTP-IN	E3005876225B45819FD087E7C3BFBBC4.MAI	1004	&99.228.192.3&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 11/06/18 07:17:28	&0&0&	
1987&11/06/18 07:17:28&	SMTP-IN	E3005876225B45819FD087E7C3BFBBC4.MAI	1004	&99.228.192.3&HELO&HELO&mail.cirkul-m.ru	250 Requested mail action okay, completed	&43&23&	
1988&11/06/18 07:17:29&	SMTP-IN	E3005876225B45819FD087E7C3BFBBC4.MAI	1004	&99.228.192.3&AUTH&AUTH&LOGIN	334 VXNlcm5hbWU6	&18&12&	
1989&11/06/18 07:17:29&	SMTP-IN	E3005876225B45819FD087E7C3BFBBC4.MAI	1004	&99.228.192.3&AUTH&{blank}&334 UGFzc3dvcmQ6	&18&10&cyndy	
1990&11/06/18 07:17:29&	SMTP-IN	E3005876225B45819FD087E7C3BFBBC4.MAI	1004	&99.228.192.3&AUTH&Y3luZHk=&535 Invalid Username or Password	&34&10&cyndy	
1991&11/06/18 07:17:29&	SMTP-IN	E3005876225B45819FD087E7C3BFBBC4.MAI	1004	&99.228.192.3&QUIT&QUIT&221 Service closing transmission channel	&42&6&cyndy	
1992&11/06/18 07:19:17&	SMTP-IN	E97AE7BC05C742459E2D185BB291522C.MAI	964	&200.60.62.82&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 11/06/18 07:19:17	&0&0&	
1993&11/06/18 07:19:18&	SMTP-IN	E97AE7BC05C742459E2D185BB291522C.MAI	964	&200.60.62.82&HELO&HELO&mail.cirkul-m.ru	250 Requested mail action okay, completed	&43&23&	
1994&11/06/18 07:19:18&	SMTP-IN	E97AE7BC05C742459E2D185BB291522C.MAI	964	&200.60.62.82&AUTH&AUTH&LOGIN	334 VXNlcm5hbWU6	&18&12&	
1995&11/06/18 07:19:18&	SMTP-IN	E97AE7BC05C742459E2D185BB291522C.MAI	964	&200.60.62.82&AUTH&{blank}&334 UGFzc3dvcmQ6	&18&14&cynnamon	
1996&11/06/18 07:19:19&	SMTP-IN	E97AE7BC05C742459E2D185BB291522C.MAI	964	&200.60.62.82&AUTH&Y3lubmFtb24=&535 Invalid Username or Password	&34&14&cynnamon	
1997&11/06/18 07:19:19&	SMTP-IN	E97AE7BC05C742459E2D185BB291522C.MAI	964	&200.60.62.82&QUIT&QUIT&221 Service closing transmission channel	&42&6&cynnamon	
1998&11/06/18 07:19:39&	SMTP-IN	EDBDED3355C047079C26400EABA06A78.MAI	908	&80.82.70.189&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 11/06/18 07:19:39	&0&0&	
1999&11/06/18 07:19:39&	SMTP-IN	EDBDED3355C047079C26400EABA06A78.MAI	908	&80.82.70.189&EHLO&EHLO&User	250-cirkul-m.ru [80.82.70.189], this server offers 4 extensions	&127&11&	
2000&11/06/18 07:19:39&	SMTP-IN	EDBDED3355C047079C26400EABA06A78.MAI	908	&80.82.70.189&RSET&RSET&250 Requested mail action okay, completed	&43&6&	
2001&11/06/18 07:19:39&	SMTP-IN	EDBDED3355C047079C26400EABA06A78.MAI	908	&80.82.70.189&AUTH&AUTH&LOGIN	334 VXNlcm5hbWU6	&18&12&	
2002&11/06/18 07:19:39&	SMTP-IN	EDBDED3355C047079C26400EABA06A78.MAI	908	&80.82.70.189&AUTH&{blank}&334 UGFzc3dvcmQ6	&18&26&calvin@cirkul-m.ru	
2003&11/06/18 07:19:39&	SMTP-IN	EDBDED3355C047079C26400EABA06A78.MAI	908	&80.82.70.189&AUTH&Y2FsdmluMTIz&535 Invalid Username or Password	&34&14&calvin@cirkul-m.ru	
2004&11/06/18 07:19:39&	SMTP-IN	EDBDED3355C047079C26400EABA06A78.MAI	908	&80.82.70.189&QUIT&QUIT&221 Service closing transmission channel	&42&6&calvin@cirkul-m.ru	
2005&11/06/18 07:21:18&	SMTP-IN	98ACECA5B121442E87EC7AA932C9C6E0.MAI	1008	&45.4.33.216&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 11/06/18 07:21:18	&0&0&	
2006&11/06/18 07:21:19&	SMTP-IN	98ACECA5B121442E87EC7AA932C9C6E0.MAI	1008	&45.4.33.216&HELO&HELO&mail.cirkul-m.ru	250 Requested mail action okay, completed	&43&23&	
2007&11/06/18 07:21:19&	SMTP-IN	98ACECA5B121442E87EC7AA932C9C6E0.MAI	1008	&45.4.33.216&AUTH&AUTH&LOGIN	334 VXNlcm5hbWU6	&18&12&	
2008&11/06/18 07:21:20&	SMTP-IN	98ACECA5B121442E87EC7AA932C9C6E0.MAI	1008	&45.4.33.216&AUTH&{blank}&334 UGFzc3dvcmQ6	&18&14&cynthia	
2009&11/06/18 07:21:20&	SMTP-IN	98ACECA5B121442E87EC7AA932C9C6E0.MAI	1008	&45.4.33.216&AUTH&Y3ludGhpYQ==&535 Invalid Username or Password	&34&14&cynthia	
2010&11/06/18 07:21:20&	SMTP-IN	98ACECA5B121442E87EC7AA932C9C6E0.MAI	1008	&45.4.33.216&QUIT&QUIT&221 Service closing transmission channel	&42&6&cynthia	
2011&11/06/18 07:22:52&	SMTP-IN	706B2E617AE44056B20935C3C91B4C9B.MAI	1004	&193.169.252.54&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 11/06/18 07:22:52	&0&0&	
2012&11/06/18 07:22:52&	SMTP-IN	706B2E617AE44056B20935C3C91B4C9B.MAI	1004	&193.169.252.54&EHLO&EHLO&User	250-cirkul-m.ru [193.169.252.54], this server offers 4 extensions	&129&11&	
2013&11/06/18 07:22:52&	SMTP-IN	706B2E617AE44056B20935C3C91B4C9B.MAI	1004	&193.169.252.54&AUTH&AUTH&LOGIN	334 VXNlcm5hbWU6	&18&12&	
2014&11/06/18 07:22:52&	SMTP-IN	706B2E617AE44056B20935C3C91B4C9B.MAI	1004	&193.169.252.54&AUTH&{blank}&334 UGFzc3dvcmQ6	&18&10&test2	
2015&11/06/18 07:22:52&	SMTP-IN	706B2E617AE44056B20935C3C91B4C9B.MAI	1004	&193.169.252.54&AUTH&V2VsY29tZTE=&535 Invalid Username or Password	&34&14&test2	
2016&11/06/18 07:23:04&	SMTP-IN	41BAAD41A518422B90BA4155B154DF5D.MAI	964	&197.249.5.116&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 11/06/18 07:23:04	&0&0&	
2017&11/06/18 07:23:04&	SMTP-IN	41BAAD41A518422B90BA4155B154DF5D.MAI	964	&197.249.5.116&HELO&HELO&mail.cirkul-m.ru	250 Requested mail action okay, completed	&43&23&	
2018&11/06/18 07:23:04&	SMTP-IN	41BAAD41A518422B90BA4155B154DF5D.MAI	964	&197.249.5.116&AUTH&AUTH&LOGIN	334 VXNlcm5hbWU6	&18&12&	
2019&11/06/18 07:23:05&	SMTP-IN	41BAAD41A518422B90BA4155B154DF5D.MAI	964	&197.249.5.116&AUTH&{blank}&334 UGFzc3dvcmQ6	&18&10&cyoung	
2020&11/06/18 07:23:05&	SMTP-IN	41BAAD41A518422B90BA4155B154DF5D.MAI	964	&197.249.5.116&AUTH&Y3lvdW5n&535 Invalid Username or Password	&34&10&cyoung	
2021&11/06/18 07:23:05&	SMTP-IN	41BAAD41A518422B90BA4155B154DF5D.MAI	964	&197.249.5.116&QUIT&QUIT&221 Service closing transmission channel	&42&6&cyoung	
2022&11/06/18 07:25:09&	SMTP-IN	C56F16E036344A55A718A22DDC4C041B.MAI	908	&179.232.179.143&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 11/06/18 07:25:09	&0&0&	
2023&11/06/18 07:25:10&	SMTP-IN	C56F16E036344A55A718A22DDC4C041B.MAI	908	&179.232.179.143&HELO&HELO&mail.cirkul-m.ru	250 Requested mail action okay, completed	&43&23&	
2024&11/06/18 07:25:10&	SMTP-IN	C56F16E036344A55A718A22DDC4C041B.MAI	908	&179.232.179.143&AUTH&AUTH&LOGIN	334 VXNlcm5hbWU6	&18&12&	
2025&11/06/18 07:25:10&	SMTP-IN	C56F16E036344A55A718A22DDC4C041B.MAI	908	&179.232.179.143&AUTH&{blank}&334 UGFzc3dvcmQ6	&18&10&cyrah	
2026&11/06/18 07:25:11&	SMTP-IN	C56F16E036344A55A718A22DDC4C041B.MAI	908	&179.232.179.143&AUTH&Y3lyYWg=&535 Invalid Username or Password	&34&10&cyrah	
2027&11/06/18 07:25:11&	SMTP-IN	C56F16E036344A55A718A22DDC4C041B.MAI	908	&179.232.179.143&QUIT&QUIT&221 Service closing transmission channel	&42&6&cyrah	
2028&11/06/18 07:26:16&	SMTP-IN	D69FC0FD7145471F8DF013182792BD8D.MAI	1008	&185.234.219.30&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 11/06/18 07:26:16	&0&0&	
2029&11/06/18 07:26:16&	SMTP-IN	D69FC0FD7145471F8DF013182792BD8D.MAI	1008	&185.234.219.30&EHLO&EHLO&User	250-cirkul-m.ru [185.234.219.30], this server offers 4 extensions	&129&11&	
2030&11/06/18 07:26:16&	SMTP-IN	D69FC0FD7145471F8DF013182792BD8D.MAI	1008	&185.234.219.30&AUTH&AUTH&LOGIN	334 VXNlcm5hbWU6	&18&12&	
2031&11/06/18 07:26:16&	SMTP-IN	D69FC0FD7145471F8DF013182792BD8D.MAI	1008	&185.234.219.30&AUTH&{blank}&334 UGFzc3dvcmQ6	&18&10&oracle	
2032&11/06/18 07:26:16&	SMTP-IN	D69FC0FD7145471F8DF013182792BD8D.MAI	1008	&185.234.219.30&AUTH&d2VsY29tZQ==&535 Invalid Username or Password	&34&14&oracle	
2033&11/06/18 07:26:26&	SMTP-IN	B92C57C15D254144BC06B4838BB23046.MAI	1004	&193.169.252.163&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 11/06/18 07:26:26	&0&0&	
2034&11/06/18 07:26:26&	SMTP-IN	B92C57C15D254144BC06B4838BB23046.MAI	1004	&193.169.252.163&EHLO&EHLO&178.72.90.213	250-cirkul-m.ru [193.169.252.163], this server offers 4 extensions	&130&20&	
2035&11/06/18 07:26:26&	SMTP-IN	B92C57C15D254144BC06B4838BB23046.MAI	1004	&193.169.252.163&AUTH&AUTH&LOGIN	334 VXNlcm5hbWU6	&18&12&	
2036&11/06/18 07:26:26&	SMTP-IN	B92C57C15D254144BC06B4838BB23046.MAI	1004	&193.169.252.163&AUTH&{blank}&334 UGFzc3dvcmQ6	&18&10&login	
2037&11/06/18 07:26:27&	SMTP-IN	B92C57C15D254144BC06B4838BB23046.MAI	1004	&193.169.252.163&AUTH&cXdlcnR5&535 Invalid Username or Password	&34&10&login	
2038&11/06/18 07:26:39&	SMTP-IN	4C5237B26F7A45B7A34AE9596FEDE1E3.MAI	964	&133.208.151.107&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 11/06/18 07:26:39	&0&0&	
2039&11/06/18 07:26:39&	SMTP-IN	4C5237B26F7A45B7A34AE9596FEDE1E3.MAI	964	&133.208.151.107&HELO&HELO&mail.cirkul-m.ru	250 Requested mail action okay, completed	&43&23&	
2040&11/06/18 07:26:39&	SMTP-IN	4C5237B26F7A45B7A34AE9596FEDE1E3.MAI	964	&133.208.151.107&AUTH&AUTH&LOGIN	334 VXNlcm5hbWU6	&18&12&	
2041&11/06/18 07:26:39&	SMTP-IN	4C5237B26F7A45B7A34AE9596FEDE1E3.MAI	964	&133.208.151.107&AUTH&{blank}&334 UGFzc3dvcmQ6	&18&10&cyril	
2042&11/06/18 07:26:40&	SMTP-IN	4C5237B26F7A45B7A34AE9596FEDE1E3.MAI	964	&133.208.151.107&AUTH&Y3lyaWw=&535 Invalid Username or Password	&34&10&cyril	
2043&11/06/18 07:26:40&	SMTP-IN	4C5237B26F7A45B7A34AE9596FEDE1E3.MAI	964	&133.208.151.107&QUIT&QUIT&221 Service closing transmission channel	&42&6&cyril	
2044&11/06/18 07:28:32&	SMTP-IN	D07154F6F3774ED396872A8FA0306250.MAI	908	&177.8.169.156&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 11/06/18 07:28:32	&0&0&	
2045&11/06/18 07:28:33&	SMTP-IN	D07154F6F3774ED396872A8FA0306250.MAI	908	&177.8.169.156&HELO&HELO&mail.cirkul-m.ru	250 Requested mail action okay, completed	&43&23&	
2046&11/06/18 07:28:33&	SMTP-IN	D07154F6F3774ED396872A8FA0306250.MAI	908	&177.8.169.156&AUTH&AUTH&LOGIN	334 VXNlcm5hbWU6	&18&12&	
2047&11/06/18 07:28:33&	SMTP-IN	D07154F6F3774ED396872A8FA0306250.MAI	908	&177.8.169.156&AUTH&{blank}&334 UGFzc3dvcmQ6	&18&10&cyrus	
2048&11/06/18 07:28:34&	SMTP-IN	D07154F6F3774ED396872A8FA0306250.MAI	908	&177.8.169.156&AUTH&Y3lydXM=&535 Invalid Username or Password	&34&10&cyrus	
2049&11/06/18 07:28:34&	SMTP-IN	D07154F6F3774ED396872A8FA0306250.MAI	908	&177.8.169.156&QUIT&QUIT&221 Service closing transmission channel	&42&6&cyrus	
2050&11/06/18 07:32:09&	SMTP-IN	FE362935021C4AD38B47987596501971.MAI	1008	&187.94.100.150&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 11/06/18 07:32:09	&0&0&	
2051&11/06/18 07:32:09&	SMTP-IN	FE362935021C4AD38B47987596501971.MAI	1008	&187.94.100.150&HELO&HELO&mail.cirkul-m.ru	250 Requested mail action okay, completed	&43&23&	
2052&11/06/18 07:32:09&	SMTP-IN	FE362935021C4AD38B47987596501971.MAI	1008	&187.94.100.150&AUTH&AUTH&LOGIN	334 VXNlcm5hbWU6	&18&12&	
2053&11/06/18 07:32:10&	SMTP-IN	FE362935021C4AD38B47987596501971.MAI	1008	&187.94.100.150&AUTH&{blank}&334 UGFzc3dvcmQ6	&18&10&dacey	
2054&11/06/18 07:32:10&	SMTP-IN	FE362935021C4AD38B47987596501971.MAI	1008	&187.94.100.150&AUTH&ZGFjZXk=&535 Invalid Username or Password	&34&10&dacey	
2055&11/06/18 07:32:10&	SMTP-IN	FE362935021C4AD38B47987596501971.MAI	1008	&187.94.100.150&QUIT&QUIT&221 Service closing transmission channel	&42&6&dacey	
